user_id,provider_id,date,time,location,duration,cost,status,services_id_included,event_id
10025,10027,2023-09-03T20:00:48.490831,2023-08-17T04:22:48.490831,Delhi,7,21540,booked,"service10147,service10114,service10149,service10094,service10116,service10061,service10080,service10066,service10137,service10113",Birthday
10197,10045,2024-07-15T20:40:48.490831,2024-06-01T19:55:48.490831,Hyderabad,3,36207,completed,"service10067,service10134,service10012,service10105,service10180,service10028,service10080,service10157,service10147,service10129",Wedding
10070,10101,2025-04-27T01:34:48.491344,2024-04-08T21:31:48.491344,Mumbai,2,60161,pending,"service10100,service10063,service10149,service10158,service10157,service10142,service10076,service10039,service10012,service10180",Birthday
10038,10037,2024-12-23T06:38:48.491344,2024-02-12T14:40:48.491344,Hyderabad,10,56853,cancelled,"service10129,service10012,service10175,service10052,service10039,service10099",Birthday
10124,10175,2024-02-15T09:01:48.491344,2024-02-28T16:36:48.491344,Mumbai,3,48850,booked,"service10015,service10068,service10156,service10158,service10150,service10099,service10196,service10114,service10106,service10194",Birthday
10200,10024,2024-09-20T00:11:48.491344,2024-06-10T22:45:48.491344,Mumbai,10,45530,pending,"service10128,service10092,service10103,service10181,service10090,service10039,service10170,service10013,service10107",Birthday
10185,10092,2025-01-05T21:54:48.491856,2025-05-27T09:55:48.491856,Hyderabad,7,81742,cancelled,"service10013,service10037,service10099,service10083,service10012,service10058,service10027,service10072,service10131,service10115",Birthday
10020,10119,2023-06-22T01:55:48.491856,2024-03-07T07:27:48.491856,Delhi,1,84928,booked,"service10196,service10039",Birthday
10042,10136,2024-06-09T19:44:48.491856,2024-01-16T17:25:48.491856,Mumbai,6,29207,booked,"service10103,service10015,service10104,service10184,service10194,service10066,service10137",Wedding
10138,10108,2023-10-13T05:28:48.491856,2024-05-26T02:48:48.491856,Mumbai,8,93106,pending,"service10196,service10081,service10192,service10052",Wedding
10007,10043,2023-12-06T01:37:48.491856,2024-04-21T12:27:48.491856,Delhi,5,58864,completed,"service10079,service10014,service10184,service10136,service10150",Birthday
10007,10095,2023-10-20T02:52:48.492365,2024-09-21T17:13:48.492365,Delhi,6,34350,booked,"service10067,service10143,service10076,service10137,service10113,service10012,service10045,service10194,service10078,service10106",Wedding
10042,10092,2024-12-22T16:57:48.492365,2024-08-31T21:02:48.492365,Hyderabad,5,54766,cancelled,service10013,Wedding
10138,10199,2024-09-29T00:10:48.492365,2024-04-12T04:09:48.492365,Hyderabad,3,26687,cancelled,"service10154,service10128,service10181",Birthday
